,MSE,DataNumber
0,0.01877001575356768,1000832th data
1,0.017452033424093905,100288th data
2,0.01621791479887469,1003200th data
3,0.01784642310792639,1004928th data
4,0.01938940445842302,1005440th data
5,0.02394622209729197,100864th data
6,0.021236552072010417,1012160th data
7,0.016701769026407687,1012608th data
8,0.01936103549628826,1012800th data
9,0.020893023323820092,1014144th data
10,0.019816566768542487,1014464th data
11,0.019793911809663944,1015680th data
12,0.026499105263125933,1016832th data
13,0.015372822596871616,1017792th data
14,0.01613740357575094,1019392th data
15,0.014435756054153315,1024192th data
16,0.017365091169251057,1024768th data
17,0.02790694889969525,1029056th data
18,0.025848645057316044,1029120th data
19,0.01750805617169937,1031296th data
20,0.023224329560570967,1033088th data
21,0.03878157275688909,1034304th data
22,0.024673914048148893,1035072th data
23,0.025803716747773264,1035584th data
24,0.02225153269755742,1036992th data
25,0.018543622897391032,1038208th data
26,0.02204119326396392,1040704th data
27,0.027937591995734812,1041472th data
28,0.0280448724535296,1041920th data
29,0.02241998991872557,1043008th data
30,0.020767907348405223,1043840th data
31,0.023162894218769547,104384th data
32,0.017569384497787444,1045696th data
33,0.0275774255748778,1051136th data
34,0.023073337739303368,1054016th data
35,0.030410130748536768,1054144th data
36,0.019906231189315005,1055936th data
37,0.01715645550363959,1056448th data
38,0.01979569272712356,1059072th data
39,0.030200353346062525,1059840th data
40,0.018888822341173506,1060416th data
41,0.01813461808777761,1061056th data
42,0.0179305545381086,1061440th data
43,0.020038235031730467,1061696th data
44,0.011948868690913383,1062080th data
45,0.019630392047652157,1062208th data
46,0.018434383384494935,1062784th data
47,0.020260997799293745,1063040th data
48,0.019954193241119078,1063296th data
49,0.01735383985060729,1064704th data
50,0.017920987854905424,1065280th data
51,0.011882697857355295,1068224th data
52,0.015831555732831293,1069376th data
53,0.02050686732526319,1069568th data
54,0.01766286620667007,1073088th data
55,0.024769763190599536,1073792th data
56,0.020330607886463736,1076736th data
57,0.018445858516977665,1077248th data
58,0.02229875822341315,1079296th data
59,0.02123834582391848,1079680th data
60,0.01786474643770153,1079872th data
61,0.02079396887127427,1082880th data
62,0.01805275689785507,1083776th data
63,0.017511621863472715,1084096th data
64,0.015434469479184199,1086016th data
65,0.022253923154507138,1087488th data
66,0.01157375383210707,1090688th data
67,0.016159590915557465,1090752th data
68,0.024544715839797338,1091840th data
69,0.026033687219940205,1091904th data
70,0.021956744580240495,1092352th data
71,0.023876076973670946,1093184th data
72,0.01994063333332896,1095616th data
73,0.019078979825630338,1095936th data
74,0.02370785459722402,110016th data
75,0.027227676098350806,1100352th data
76,0.01879104850940072,1100544th data
