,MSE,DataNumber
0,0.446512878224874,1000832th data
1,0.481764984249268,100288th data
2,0.39076264297311725,1003200th data
3,0.5583792749500385,1004928th data
4,0.5497424741430015,1005440th data
5,0.652923296330199,100864th data
6,0.5851627049126789,1012160th data
7,0.39958676007607746,1012608th data
8,0.5048176744174353,1012800th data
9,0.42137222562577575,1014144th data
10,0.4613061135039951,1014464th data
11,0.5502746390231517,1015680th data
12,0.6615863020221733,1016832th data
13,0.2983767478224176,1017792th data
14,0.34442957553383474,1019392th data
15,0.31129749122077716,1024192th data
16,0.4331919363411197,1024768th data
17,0.7692066348792572,1029056th data
18,0.5870763212716357,1029120th data
19,0.5205537700136544,1031296th data
20,0.7070984317653961,1033088th data
21,1.332505615084184,1034304th data
22,0.8328777812228196,1035072th data
23,0.7563180102270464,1035584th data
24,0.46583603486942593,1036992th data
25,0.5421089650176638,1038208th data
26,0.6851024671152581,1040704th data
27,0.668921474269736,1041472th data
28,0.691151789358603,1041920th data
29,0.5188692442371123,1043008th data
30,0.6859699453042336,1043840th data
31,0.5378102890928038,104384th data
32,0.4373552397383149,1045696th data
33,0.6436523637108138,1051136th data
34,0.5497268076100763,1054016th data
35,1.004569179814847,1054144th data
36,0.5075782896709038,1055936th data
37,0.35780427058523406,1056448th data
38,0.5231000705048958,1059072th data
39,1.0706213714156485,1059840th data
40,0.5226092983495543,1060416th data
41,0.5408219576858109,1061056th data
42,0.43279923321730035,1061440th data
43,0.4304913944444891,1061696th data
44,0.2566263713419268,1062080th data
45,0.4163941676613101,1062208th data
46,0.4257310432812314,1062784th data
47,0.5313581981127968,1063040th data
48,0.5160006268467403,1063296th data
49,0.415156927404945,1064704th data
50,0.460263724525583,1065280th data
51,0.26074220215299904,1068224th data
52,0.34183005249414095,1069376th data
53,0.5072038170378415,1069568th data
54,0.4522336520559272,1073088th data
55,0.6466684147995672,1073792th data
56,0.4846042174588408,1076736th data
57,0.406567248103479,1077248th data
58,0.49892980493501377,1079296th data
59,0.4886130422013304,1079680th data
60,0.37438707389378933,1079872th data
61,0.5303346018754818,1082880th data
62,0.514385698677962,1083776th data
63,0.5158125536773319,1084096th data
64,0.37670380935573006,1086016th data
65,0.5780035615340575,1087488th data
66,0.2498941012137435,1090688th data
67,0.35646740800440174,1090752th data
68,0.7729060905550478,1091840th data
69,0.7088080273399147,1091904th data
70,0.6724285687024003,1092352th data
71,0.8246887254511073,1093184th data
72,0.5339828797375823,1095616th data
73,0.5583268977972902,1095936th data
74,0.6711603365242178,110016th data
75,0.867791933350516,1100352th data
76,0.5570694931927642,1100544th data
77,0.4992496081957223,1102016th data
78,0.551878113646481,1104128th data
79,0.7883259153073974,1108160th data
80,0.6997613123817259,1120192th data
81,0.3221330418148805,1124288th data
82,0.514249616680698,1128576th data
83,0.488469259347915,1129792th data
84,0.5266027699697688,1133696th data
85,0.4845271267328593,1136960th data
86,0.7008025336152368,1140928th data
87,0.5335057261441956,1141632th data
88,0.5552224180294174,1143040th data
89,0.6119596639972267,1143744th data
90,0.5723472821679092,1145920th data
91,0.29455017145303547,1151360th data
92,0.5267092980163603,1151808th data
93,0.7555046225573636,1153280th data
