,0,1,2,3,4,5,6,7,8,9,
0, 0.0000, 0.2919, 0.1846, 0.0641, 0.2210, 0.4504, 0.2096, 0.1971, 0.3203, 0.3759,
1, 0.2919, 0.0000, 0.0854, 0.1756, 0.0549, 0.2003, 0.1492, 0.0527, 0.0480, 0.1693,
2, 0.1846, 0.0854, 0.0000, 0.1137, 0.0736, 0.3610, 0.1692, 0.1036, 0.1798, 0.2627,
3, 0.0641, 0.1756, 0.1137, 0.0000, 0.0921, 0.3367, 0.1231, 0.1083, 0.1874, 0.2029,
4, 0.2210, 0.0549, 0.0736, 0.0921, 0.0000, 0.2714, 0.1849, 0.0274, 0.1181, 0.1427,
5, 0.4504, 0.2003, 0.3610, 0.3367, 0.2714, 0.0000, 0.2160, 0.2438, 0.1191, 0.1468,
6, 0.2096, 0.1492, 0.1692, 0.1231, 0.1849, 0.2160, 0.0000, 0.1917, 0.0810, 0.1984,
7, 0.1971, 0.0527, 0.1036, 0.1083, 0.0274, 0.2438, 0.1917, 0.0000, 0.1124, 0.1804,
8, 0.3203, 0.0480, 0.1798, 0.1874, 0.1181, 0.1191, 0.0810, 0.1124, 0.0000, 0.1363,
9, 0.3759, 0.1693, 0.2627, 0.2029, 0.1427, 0.1468, 0.1984, 0.1804, 0.1363, 0.0000,
